,userStage,correctStage,timeSpent,totalClicks,pid,block,sound,isCorrect
618,5,2,1.69,0,1111,1,1,0.0
619,1,2,2.07,0,1111,1,1,0.0
620,3,3,2.87,0,1111,1,1,1.0
4253,3,2,13.02,0,6040680,1,1,0.0
4259,2,2,2.75,0,6040680,1,1,1.0
4262,5,3,2.74,0,6040680,1,1,0.0
4270,2,1,2.58,0,6040680,1,1,0.0
4272,0,0,3.23,0,6040680,1,1,1.0
4273,2,2,2.1,0,6040680,1,1,1.0
4274,3,5,1.9,0,6040680,1,1,0.0
4275,1,5,4.68,0,6040680,1,1,0.0
4276,1,2,19.42,0,6040680,1,1,0.0
4286,5,5,11.97,0,6040680,1,1,1.0
4297,1,2,17.24,0,6040680,1,1,0.0
4298,2,2,1.32,0,6040680,1,1,1.0
4299,3,0,0.73,0,6040680,1,1,0.0
4300,0,2,1.14,0,6040680,1,1,0.0
4301,2,0,4.66,0,6040680,1,1,0.0
4302,0,0,1.63,0,6040680,1,1,1.0
4303,2,5,1.25,0,6040680,1,1,0.0
4304,0,3,2.03,0,6040680,1,1,0.0
4305,0,2,1.44,0,6040680,1,1,0.0
4306,1,2,0.93,0,6040680,1,1,0.0
4307,2,2,0.95,0,6040680,1,1,1.0
4312,3,5,0.91,0,6040680,1,1,0.0
4315,5,0,2.57,0,6040680,1,1,0.0
4316,0,3,1.26,0,6040680,1,1,0.0
4317,1,3,5.26,0,6040680,1,1,0.0
4318,2,3,0.86,0,6040680,1,1,0.0
4319,3,0,1.07,0,6040680,1,1,0.0
4320,2,2,0.93,0,6040680,1,1,1.0
4321,3,3,0.9,0,6040680,1,1,1.0
4322,5,1,1.03,0,6040680,1,1,0.0
4349,1,2,2.89,0,6040680,2,0,0.0
4350,2,0,1.67,0,6040680,2,0,0.0
4351,5,5,1.38,0,6040680,2,0,1.0
4352,0,2,0.89,0,6040680,2,0,0.0
4353,3,0,0.9,0,6040680,2,0,0.0
4354,0,5,0.74,0,6040680,2,0,0.0
4355,5,3,1.2,0,6040680,2,0,0.0
4356,2,2,1.19,0,6040680,2,0,1.0
4357,3,0,0.9,0,6040680,2,0,0.0
4358,5,2,1.18,0,6040680,2,0,0.0
4359,1,2,0.89,0,6040680,2,0,0.0
4360,0,1,1.18,0,6040680,2,0,0.0
4361,1,3,0.82,0,6040680,2,0,0.0
4362,1,3,0.33,0,6040680,2,0,0.0
4364,1,0,0.37,0,6040680,2,0,0.0
4368,1,2,0.51,0,6040680,2,0,0.0
4371,3,0,0.79,0,6040680,2,0,0.0
4373,3,5,0.54,0,6040680,2,0,0.0
4374,0,3,1.03,0,6040680,2,0,0.0
4375,0,5,0.43,0,6040680,2,0,0.0
4376,0,3,0.23,0,6040680,2,0,0.0
4377,0,3,0.27,0,6040680,2,0,0.0
4378,5,2,0.9,0,6040680,2,0,0.0
4379,5,0,0.51,0,6040680,2,0,0.0
4380,3,3,0.91,0,6040680,2,0,1.0
4381,2,5,0.88,0,6040680,2,0,0.0
4382,3,5,1.69,0,6040680,2,0,0.0
4383,3,2,0.43,0,6040680,2,0,0.0
4384,3,0,0.5,0,6040680,2,0,0.0
4385,0,5,0.81,0,6040680,2,0,0.0
10467,3,2,19.75,0,3874617,1,1,0.0
10468,2,3,14.18,0,3874617,1,1,0.0
10469,2,2,9.53,0,3874617,1,1,1.0
10470,1,2,5.59,0,3874617,1,1,0.0
10471,1,3,16.15,0,3874617,1,1,0.0
10472,3,5,6.27,0,3874617,1,1,0.0
10473,2,0,2.9,0,3874617,1,1,0.0
10474,1,5,7.17,0,3874617,1,1,0.0
10475,2,0,2.68,0,3874617,1,1,0.0
10476,1,2,2.42,0,3874617,1,1,0.0
10477,1,0,3.26,0,3874617,1,1,0.0
10478,2,2,2.77,0,3874617,1,1,1.0
10479,3,3,5.5,0,3874617,1,1,1.0
10480,1,2,13.25,0,3874617,1,1,0.0
10481,1,1,18.81,0,3874617,1,1,1.0
10482,1,2,18.3,0,3874617,1,1,0.0
10483,0,0,2.17,0,3874617,1,1,1.0
10484,5,2,6.69,0,3874617,1,1,0.0
10485,1,5,2.97,0,3874617,1,1,0.0
10486,1,1,1.75,0,3874617,1,1,1.0
10487,2,3,2.52,0,3874617,1,1,0.0
10488,1,3,1.35,0,3874617,1,1,0.0
10489,3,5,22.6,0,3874617,1,1,0.0
10490,1,3,7.6,0,3874617,1,1,0.0
10491,5,5,4.28,0,3874617,1,1,1.0
10492,1,0,2.18,0,3874617,1,1,0.0
10493,1,2,2.05,0,3874617,1,1,0.0
10494,2,0,7.26,0,3874617,1,1,0.0
10495,1,2,1.86,0,3874617,1,1,0.0
10496,2,2,1.63,0,3874617,1,1,1.0
10554,2,2,17.21,0,3874617,2,0,1.0
10565,2,5,2419.26,0,3874617,2,0,0.0
10566,3,3,14.88,0,3874617,2,0,1.0
10567,5,5,9.11,0,3874617,2,0,1.0
10568,2,3,2.14,0,3874617,2,0,0.0
10569,5,5,4.32,0,3874617,2,0,1.0
10570,3,3,27.32,0,3874617,2,0,1.0
10571,2,2,1.29,0,3874617,2,0,1.0
10572,2,5,1.28,0,3874617,2,0,0.0
10573,2,2,1.38,0,3874617,2,0,1.0
10574,1,3,1.57,0,3874617,2,0,0.0
10576,3,2,1.72,0,3874617,2,0,0.0
10579,0,0,3.06,0,3874617,2,0,1.0
10581,0,2,2.19,0,3874617,2,0,0.0
10584,2,2,3.3,0,3874617,2,0,1.0
10587,2,2,4.34,0,3874617,2,0,1.0
10589,0,0,3.34,0,3874617,2,0,1.0
10592,2,5,3.98,0,3874617,2,0,0.0
10595,0,0,3.8,0,3874617,2,0,1.0
10596,5,5,1.79,0,3874617,2,0,1.0
10599,1,5,2.35,0,3874617,2,0,0.0
10601,1,1,1.5,0,3874617,2,0,1.0
10602,2,3,1.68,0,3874617,2,0,0.0
10603,3,2,4.16,0,3874617,2,0,0.0
10604,0,0,2.13,0,3874617,2,0,1.0
10605,0,3,1.42,0,3874617,2,0,0.0
10611,3,3,122.33,0,3874617,2,0,1.0
10612,0,0,1.77,0,3874617,2,0,1.0
